sequence,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,cross_time[0],mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,similarity,response_time,Pass,trialNumber,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,prac_trials.thisRepN,prac_trials.thisTrialN,prac_trials.thisN,prac_trials.thisIndex,prac_trials.ran,video_file,video_id,Prolific_ID*,date,expName,psychopyVersion,OS,frameRate,mouse_5.clicked_name,mouse_7.clicked_name,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,this_video,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,Experiment.ran,mouse_9.clicked_name,mouse_6.clicked_name,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-4,160.0028,1,5,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,-0.075925869,0.147685178,1,0,0,group_1/1768.mp4,0.007870399,-0.011111111,1,0,0,4,0,4,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,171.3533,1,6,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,0.075463019,0.052314801,1,0,0,group_1/1292.mp4,0.003240797,-0.002314843,1,0,0,5,0,5,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,-3,179.7747,1,7,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,-0.093981425,0.038888889,1,0,0,group_1/1158.mp4,-0.011574046,-0.006018533,1,0,0,6,0,6,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,-4,187.6534,1,8,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,-0.05601849,0.086111111,1,0,0,group_1/1375.mp4,-0.015277778,0.010185157,1,0,0,7,0,7,0,1,response7disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,3,198.7745,1,9,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,0.181944444,0.035648134,1,0,0,group_1/1292.mp4,0.013888889,-0.003240755,1,0,0,8,0,8,0,1,response1disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,1,206.3369,1,10,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,0.037037065,-0.132407422,1,0,0,group_1/1169.mp4,0.000925954,0,1,0,0,9,0,9,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,-1,214.9689,1,11,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,-0.063888889,-0.069444444,1,0,0,group_1/0927.mp4,-0.010185157,0.005092578,1,0,0,10,0,10,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,2,233.2367,1,12,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,0.121296353,-0.063888889,1,0,0,group_1/0283.mp4,0.003703732,-0.006018533,1,0,0,11,0,11,0,1,response3disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,-2,245.4201,1,13,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,-0.155092536,-0.066666667,1,0,0,group_1/1292.mp4,-0.003240712,-0.013888889,1,0,0,12,0,12,0,1,response5disk_2,center_square_2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,3,255.318,1,14,,,,,,,,,,,,,Sawayama,2024-07-03_11h17.03.340,demoExp_V2,2021.2.3,Win32,147.0588235,,,,,,,,,0.199074131,0.078240712,1,0,0,group_1/1703.mp4,-0.003703647,-0.007870399,1,0,0,13,0,13,0,1,response1disk_2,center_square_2,,
